"﻿YEAR","JURISDICTION","AGE_GROUP","METRIC","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2015,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",7823,,,
2015,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2816,,,
2016,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",444,,,
2016,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",8220,,,
2016,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",196,,,
2016,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",10663,,,
2016,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",4310,,,
2016,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2154,,,
2016,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",9065,,,
2016,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",3651,,,
2017,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",504,,,
2017,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",9273,,,
2017,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",329,,,
2017,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",11697,,,
2017,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",4337,,,
2017,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2152,,,
2017,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",8252,,,
2017,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",3311,,,
2018,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",877,,,
2018,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",9067,,,
2018,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",341,,,
2018,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",14020,,,
2018,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",5141,,,
2018,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2408,,,
2018,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",11548,,,
2018,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",4814,,,
2019,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",852,,,
2019,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",9446,,,
2019,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",462,,,
2019,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",13366,,,
2019,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",4985,,,
2019,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2487,,,
2019,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",11693,,,
2019,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",5175,,,
2020,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",834,,,
2020,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",12652,,,
2020,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",372,,,
2020,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",8871,,,
2020,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",5728,,,
2020,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",3273,,,
2020,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",10256,,,
2020,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",4919,,,
2021,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",461,,,
2021,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",16997,,,
2021,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",273,,,
2021,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",9847,,,
2021,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",4226,,,
2021,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2618,,,
2021,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",9717,,,
2021,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",5326,,,
2022,"ACT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",390,,,
2022,"NSW","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",9527,,,
2022,"NT","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",181,,,
2022,"QLD","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",12064,,,
2022,"SA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",5607,,,
2022,"TAS","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",2209,,,
2022,"VIC","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",10628,,,
2022,"WA","All ages","positive_drug_tests","Yes","Indicator (Stage 1)","No","No","No","No","No","No","Yes","No",6262,,,
2023,"NSW","0-16","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"ACT","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable","Not applicable","No","No","Not applicable",1,,0,1
2023,"ACT","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable","Not applicable","No","No","Not applicable",2,,0,2
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","No","Not applicable","Not applicable","Yes","Not applicable",1,0,,1
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",23,7,,16
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",2,2,,0
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",7,4,,3
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",6,2,,4
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",5,1,,4
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",45,24,,21
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",7,3,,4
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",2,0,,2
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",10,0,,10
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",4,1,,3
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",4,3,,1
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",2,0,,2
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","17-25","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"ACT","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable","Not applicable","No","Yes","Not applicable",6,,1,6
2023,"ACT","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable","Not applicable","No","No","Not applicable",2,,0,2
2023,"ACT","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable","Not applicable","No","No","Not applicable",1,,0,1
2023,"ACT","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable","Not applicable","Yes","No","Not applicable",1,,1,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","No","Not applicable","Not applicable","Yes","Not applicable",3,1,,2
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",40,18,,22
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",30,13,,17
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",21,5,,16
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","No","Not applicable","Not applicable","Yes","Not applicable",4,0,,4
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",6,3,,3
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",2,1,,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",63,18,,45
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",3,2,,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",58,9,,49
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",3,1,,2
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",16,2,,14
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",5,2,,3
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",9,4,,5
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",3,0,,3
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",3,2,,1
2023,"NSW","26-39","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"ACT","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable","Not applicable","No","Yes","Not applicable",3,,1,3
2023,"ACT","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable","Not applicable","No","No","Not applicable",2,,0,2
2023,"ACT","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable","Not applicable","No","No","Not applicable",1,,0,1
2023,"ACT","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable","Not applicable","No","No","Not applicable",1,,0,1
2023,"ACT","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable","Not applicable","Yes","No","Not applicable",1,,1,1
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","No","Not applicable","Not applicable","Yes","Not applicable",1,0,,1
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",2,2,,0
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",18,12,,6
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",28,8,,20
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",2,1,,1
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",23,1,,22
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","No","Not applicable","Not applicable","Yes","Not applicable",3,1,,2
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",5,3,,2
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",26,8,,18
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,,1
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",3,1,,2
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",60,10,,50
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,1,,0
2023,"NSW","40-64","positive_drug_tests","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",2,0,,2
